"IMO Number...1","Name...2","Ship type","Total fuel consumption [m tonnes]","Total CO₂ emissions [m tonnes]","Total CH₄ emissions [m tonnes]","Total N₂O emissions [m tonnes]","Total CO₂eq emissions [m tonnes]","Time spent at sea [hours]","Fuel consumption per distance [kg / n mile]","CO₂ emissions per distance [kg CO₂ / n mile]","Fuel consumption per transport work (mass) [g / m tonnes · n miles]","CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles]","CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes]","CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes]","CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes]"
"9630731","KOSMAN","Bulk carrier",1334.69,4175.08,0.07,0.24,4240.61,1261.28,98.3,307.49,2.81,8.8,42.74,468.1,3534.43
"9630743","MEDROSE","Bulk carrier",195.68,611.8,0.01,0.04,621.4,215.59,119.14,372.48,3.63,11.35,0,109.84,423.38
"9630755","CLIPPER QUITO","Gas carrier",1005.7,3140.78,0.05,0.18,3190.17,552.8,126.05,393.66,9.24,28.87,0,2094.51,858.4
"9631113","RDO LIBERTY","Container ship",6409.37,20046.48,0.32,1.15,20361.18,2628.5,173.48,542.6,4.97,15.55,1221.4,11029.45,7244.02
"9631125","LORI","Container ship",1057,3297.72,0.05,0.19,3349.62,403,176.68,551.22,5.84,18.21,0,2052.22,1210.19
"9631383","LADY RINA","Chemical tanker",3647.55,11472.48,0.18,0.66,11651.57,3615.2,106.57,335.2,6.13,19.27,6155.04,1241.71,2099.93
"9631474","YI CHUN 15","Bulk carrier",1193.34,3758.15,0.06,0.21,3816.74,1297.7,91.24,287.34,3.5,11.02,574.14,1129.2,1732.57
"9631840","SIGRID","Ro-ro ship",962.37,3074.64,0.05,0.17,3121.89,2623.45,39.48,126.13,151,482.42,2924.03,0,0
"9631876","MSC GUERNSEY","Container ship",12708.59,39940.18,0.64,2.29,40564.17,5327.2,182.49,573.52,5.1,16.03,16506.92,16812.11,4588.69
"9631955","APL TEMASEK","Container ship",29338.4,91423.29,1.47,5.28,92863.81,5822,300.46,936.3,2.7,8.42,7725.24,43624.02,37754.6
"9631967","APL LION CITY","Container ship",25157.7,78385.62,1.26,4.53,79620.87,5183.63,298.73,930.77,2.57,8.02,3952.98,31128.7,41696.93
"9631979","APL RAFFLES","Container ship",25442.9,79430.07,1.27,4.58,80679.32,5493.69,297.67,929.3,2.29,7.14,9345.87,34913.42,33525.88
"9631981","APL CHANGI","Container ship",24442.5,76158.3,1.22,4.4,77358.43,4777.68,309.98,965.83,2.64,8.22,6491.22,33759.33,34815.13
"9631993","APL VANDA","Container ship",29618.1,92386.7,1.48,5.33,93840.95,5675.01,309.95,966.8,2.76,8.62,8926.29,43400.13,37811.8
"9632002","APL SINGAPURA","Container ship",26482.3,82611.25,1.32,4.77,83911.53,5372.12,299.63,934.68,2.61,8.15,4052.14,33865.92,43249.86
"9632014","APL MERLION","Container ship",26654.6,83113.22,1.33,4.8,84421.96,5250.51,310.55,968.34,2.75,8.57,5605.82,42031.41,33603.09
"9632026","APL FULLERTON","Container ship",12402.4,38660.09,0.62,2.23,39269.05,2581.48,323.66,1008.9,2.68,8.37,4914.74,13599.29,18915.45
"9632064","MERETE MAERSK","Container ship",25565.15,79610.44,1.28,4.6,80865.69,4790.03,328.66,1023.47,2,6.21,7985.35,36228.31,34356.5
"9632090","MOGENS MAERSK","Container ship",24360.67,75827.07,1.22,4.38,77023.18,4679.52,324.94,1011.43,1.92,5.99,9435.27,32295.03,33027.99
"9632105","MORTEN MAERSK","Container ship",20755.13,64670.59,1.04,3.74,65689.66,4277.33,316.1,984.95,2.02,6.29,2410,36202.53,24881.18
"9632117","MUNKEBO MAERSK","Container ship",25400.96,79104.54,1.27,4.57,80351.73,4799.37,318.4,991.58,1.95,6.08,9667,37232.13,31134.41
"9632129","MAREN MAERSK","Container ship",22176.72,69099.59,1.11,3.99,70188.47,3837.37,349.06,1087.64,2.03,6.32,5542.82,27189.99,35654.17
"9632131","MARGRETHE MAERSK","Container ship",26003.53,80963.57,1.3,4.68,82240.34,5135.25,317.1,987.31,1.89,5.89,3059.01,36008.65,40256.37
"9632143","MARCHEN MAERSK","Container ship",16121.79,50175.08,0.81,2.9,50966.66,3533.88,300.05,933.84,1.83,5.7,4027.12,22181.89,22824.87
"9632155","METTE MAERSK","Container ship",27700.53,85930.81,1.38,4.97,87285.24,5642.8,310.15,962.14,1.8,5.57,5230.92,34524.23,44983.6
"9632167","MARIT MAERSK","Container ship",30907.97,96253.97,1.55,5.56,97771.55,5504.33,337.59,1051.31,2.06,6.4,8248.73,52940.2,33898.78
"9632179","MATHILDE MAERSK","Container ship",32649.08,101651.45,1.63,5.88,103254.53,5529,355.62,1107.2,2.25,7.01,9147.14,58600.5,32825.49
"9632208","APL DETROIT","Container ship",1741.2,5431.8,0.09,0.31,5517.29,618.4,206.21,643.27,3.72,11.6,619.13,3625.15,876.9
"9632210","APL MEXICO CITY","Container ship",4786.7,14957.14,0.24,0.86,15192.17,1046.93,277.3,866.5,3.94,12.32,2675.39,11338.09,364.79
"9632301","XIN HAI TONG 53","Bulk carrier",1458.83,4553.8,0.07,0.26,4625.43,1598.5,97.55,304.51,2.49,7.76,492.74,570.61,3350.06
"9632349","XIN HAI TONG 50","Bulk carrier",41.3,128.62,0,0.01,130.65,48.78,79.5,247.58,3.16,9.84,0,0,128.62
"9632507","KMARIN ATLANTICA","Container ship",9470,29499.58,0.47,1.7,29964.56,4984,147.25,458.68,4.77,14.86,7424.33,11117.96,10690.56
"9632791","YANGTZE ALPHA","Bulk carrier",1686.66,5254.22,0.08,0.3,5337.04,1679.8,89.49,278.78,2.47,7.71,0,394.51,4820.66
"9632818","LMZ  ARIEL","Bulk carrier",1351.83,4238.24,0.07,0.24,4304.62,1358,96.28,301.85,2.59,8.11,0,2100.12,2109.39
"9632832","SEADREAM","Container ship",14145.78,44058.29,0.71,2.55,44752.85,5242.75,178.32,555.38,3.91,12.18,356.27,17540.01,26018.77
"9632947","GENESIS","Bulk carrier",988.52,3090.01,0.05,0.18,3138.55,911.06,114.26,357.17,3.21,10.03,274.83,1313.99,1419.02
"9633082","RAGNAR","Bulk carrier",1004.02,3129.17,0.05,0.18,3178.47,764.8,120.62,375.94,2.53,7.89,0,1058.85,1975.54
"9633197","RADIANT REB","General cargo ship",2069.63,6489.23,0.1,0.37,6590.84,2734,68.21,213.87,27,84.65,963.92,2058.83,3045.61
"9633202","SIDER PERA","Bulk carrier",2341.13,7362.82,0.12,0.42,7477.77,2650.63,74.99,235.85,3.54,11.14,1944.37,3587.27,1231.13
"9633288","KHOI VENTURES","Bulk carrier",343.23,1079.64,0.02,0.06,1096.5,568.55,56.87,178.88,5.87,18.45,0,543.09,522.64
"9633410","MYKONOS","Bulk carrier",1200.6,3767.47,0.06,0.22,3826.42,979.2,108.75,341.26,1.89,5.93,152.93,341.12,3024
"9633446","NOVO","Oil tanker",3157.31,9863.34,0.16,0.57,10018.36,2161.78,199.25,622.47,2.23,6.98,0,2346.82,6904.93
"9633458","ODESSA","Oil tanker",5162.75,16100.18,0.26,0.93,16353.67,2672.9,155.67,485.46,1.25,3.9,186.34,1203.38,13919.28
"9633953","CAP SAN SOUNIO","Container ship",16806.08,52388.43,0.84,3.03,53213.61,4257.88,256.26,798.81,2.85,8.87,3468.36,20092.34,28117.8
"9633977","RED ZED I","Other ship types",5173.13,16172.73,0.26,0.93,16426.73,4191.39,142.24,444.69,10.58,33.07,406.84,7587.74,7684.4
"9634438","AQUARIUS","Bulk carrier",1151.64,3605.61,0.06,0.21,3662.15,1182.48,92.22,288.71,2.65,8.29,165.33,308.73,3010.01
"9634646","ST. JOHN","Container ship",476.89,1485.03,0.02,0.09,1508.45,378,87.34,271.99,8.96,27.89,0,865.69,548.03
"9634660","ORNELLA","Container ship",635.82,1981.11,0.03,0.11,2012.33,650,89.82,279.87,11.3,35.21,545.34,442.98,814.28
