"IMO Number...1","Name...2","Ship type","Total fuel consumption [m tonnes]","Total CO₂ emissions [m tonnes]","Total CH₄ emissions [m tonnes]","Total N₂O emissions [m tonnes]","Total CO₂eq emissions [m tonnes]","Time spent at sea [hours]","Fuel consumption per distance [kg / n mile]","CO₂ emissions per distance [kg CO₂ / n mile]","Fuel consumption per transport work (mass) [g / m tonnes · n miles]","CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles]","CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes]","CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes]","CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes]"
"9389306","EF AVA","Container ship",4546.96,14577.55,0.23,0.82,14800.81,5675.6,61.55,197.32,16.29,52.23,216.52,7584.59,6301.06
"9389318","CARTAGENA","Chemical tanker",2287.68,7164.75,0.11,0.41,7277.08,3486.8,108.46,339.7,4.1,12.85,1772.52,1252.89,3902.44
"9389497","HANS MAERSK","Oil tanker",659,2078.42,0.03,0.12,2110.77,497.58,117.42,370.32,5.72,18.04,365.23,712.28,630.73
"9389514","HELENE MAERSK","Oil tanker",3799.64,12006.77,0.19,0.68,12193.34,3034.8,115.4,364.65,7.6,24.01,3620.48,3170.82,2806.46
"9389526","HENNING MAERSK","Oil tanker",2955.9,9271.61,0.15,0.53,9416.74,2177.4,116.84,366.49,6.34,19.87,2137.49,2755.15,2405.05
"9389564","ATHINA","Oil tanker",780.1,2464.2,0.04,0.14,2502.5,511.3,131.42,415.13,2.73,8.61,0,513.28,1616.53
"9389681","MERVE A","Container ship",4373.66,13643.89,0.22,0.79,13858.64,2994.04,124.01,386.85,5.43,16.95,1234.8,6779.39,5318.14
"9389693","KINGSTON","Container ship",10695.53,33460.53,0.53,1.93,33985.68,5832.32,137.64,430.6,6.04,18.91,5519.85,16796.61,10660.08
"9389813","SANTA MARIA","Bulk carrier",1037.84,3233.69,0.05,0.19,3284.65,892.77,139.08,433.35,2.34,7.28,0,553.67,2614.71
"9389849","POSILLIPO","Oil tanker",2093.97,6552.88,0.1,0.38,6655.69,1526.56,123.45,386.32,2.35,7.34,0,2250.04,4158.37
"9389851","GULF CORAL","Oil tanker",2043.7,6372.89,0.1,0.37,6473.23,1680.8,100.21,312.47,1.92,6,108.72,822.13,5237.5
"9389863","SHAHRAZAD","Oil tanker",586.52,1849.76,0.03,0.11,1878.55,449.12,117.25,369.77,188.67,595.02,0,1730.41,41.12
"9389899","ATLANTAS","Oil tanker",1564.27,4899.81,0.08,0.28,4976.61,733,200.86,629.15,3.63,11.36,618.12,2804.37,915.19
"9389930","AFRICAN QUEEN","Bulk carrier",710.45,2226.02,0.04,0.13,2260.9,756.2,81.67,255.89,2.14,6.72,0,333.29,1834.98
"9390161","JAG AANCHAL","Oil tanker",1720.86,5374.95,0.09,0.31,5459.44,1402.4,98.52,307.72,1.89,5.89,676.03,1166.05,3238.81
"9390537","GRIFFIN T","Chemical tanker",922.61,2897.81,0.05,0.17,2943.11,2113.49,40.94,128.57,10.21,32.06,299.42,1100.25,1401.55
"9390599","JAG LOKESH","Oil tanker",1094.26,3430.26,0.05,0.2,3483.99,702.5,134.01,420.09,1.44,4.52,614.99,233.08,2274.44
"9390628","DILONG SPIRIT","Oil tanker",759.9,2378.24,0.04,0.14,2415.55,443,155.11,485.45,1.17,3.68,0,139.78,2195.18
"9390769","TORM LENE","Oil tanker",2066.92,6449.19,0.1,0.37,6550.67,1671.45,94.7,295.5,2.65,8.27,273.48,1409.94,4604.98
"9390812","MEDKON NLS","Container ship",1175.43,3673.75,0.06,0.21,3731.46,2077.38,55.63,173.87,16.78,52.45,491.98,1438.86,1654.17
"9390824","LUCY BORCHARD","Container ship",5148.9,16053.11,0.26,0.93,16305.91,5778.63,65.8,205.14,25.87,80.65,12866.38,1470.99,1029.5
"9390991","GOLFSTRAUM","Chemical tanker",2884,9246.1,0.14,0.52,9387.71,4794.29,59.45,190.6,16.18,51.87,6184.69,1208.34,1013.42
"9391000","RYSTRAUM","Chemical tanker",3257.35,10443.06,0.16,0.59,10603,4836.62,60.91,195.28,14.83,47.56,8411.9,540.21,529.31
"9391036","MANISA BALU","General cargo ship",1536.49,4852.2,0.08,0.28,4927.64,3947.73,46,145.28,10.28,32.45,2666.54,1118.29,618.53
"9391141","SEA BAZOU","Chemical tanker",1106.04,3466.12,0.06,0.2,3520.43,1187.92,75.66,237.09,6.26,19.61,13.79,1582.79,1779.23
"9391282","KRITI RUBY","Chemical tanker",3161,9928.75,0.16,0.57,10083.96,2889.7,100.15,314.56,4.34,13.63,560.35,4227.72,4545.17
"9391311","KRITI JADE","Chemical tanker",1480.9,4660.05,0.07,0.27,4732.76,1259.08,134.02,421.74,7.2,22.64,437.51,2216.92,1431.2
"9391373","CONTI BENGUELA","Chemical tanker",4335.6,13666.1,0.22,0.78,13878.98,2507,140.06,441.48,9.09,28.66,7386.7,1755.6,1910.4
"9391385","LADYBUG","Chemical tanker",940.83,2954.39,0.05,0.17,3000.59,1024.1,74.74,234.7,8.28,26.01,407.77,906.84,1505.9
"9391397","CONTI GREENLAND","Chemical tanker",3541.6,11138.55,0.18,0.64,11312.45,3236,97.66,307.16,5.01,15.76,5600.3,1919.8,1687.6
"9391402","MESTRAL","Oil tanker",277.4,875.43,0.01,0.05,889.05,380.35,142.26,448.94,6.64,20.94,0,736.38,104.42
"9391414","BRONX","Chemical tanker",2513.99,7917.91,0.13,0.45,8041.35,2784.73,96.47,303.83,4.95,15.59,1885.14,3420.34,1707.58
"9391426","SEAWAYS MIA","Chemical tanker",1962.16,6148.04,0.1,0.35,6244.38,1585.7,96.58,302.61,3.04,9.52,0,1491.21,4484.3
"9391488","VALLE AZZURRA","Oil tanker",675.45,2144.96,0.03,0.12,2178.13,702.3,91.67,291.12,2.85,9.07,252.04,397.47,1251.32
"9391505","VALROSSA","Oil tanker",1761.43,5576.3,0.09,0.32,5662.79,1228.9,98.26,311.07,3.76,11.9,843.31,1251.3,2957.64
"9391529","OCEAN BREEZE","Chemical tanker",1766.64,5540.41,0.09,0.32,5627.16,1556,104.17,326.69,3.29,10.32,64,2873,2296
"9391567","GENTLE LEADER","Vehicle carrier",1798.2,5598.31,0.09,0.32,5686.6,1114.9,100.37,312.49,13.45,41.88,161.26,655.36,4576
"9391579","SERENITY HIGHWAY","Vehicle carrier",842.3,2669.44,0.04,0.15,2710.8,686.4,98.31,311.56,22.4,70.99,77.27,1299.35,1151.77
"9391581","RCC ASIA","Vehicle carrier",173.3,544.77,0.01,0.03,553.28,97.4,104.27,327.78,19.51,61.33,0,400.35,132.3
"9391593","RCC EUROPE","Vehicle carrier",2506.26,7568.94,0.13,0.45,7691.99,1751.2,97.9,295.64,15.23,46,867.59,1871.49,4612.21
"9391646","SQUIRESHIP","Bulk carrier",1326.63,4135.28,0.07,0.24,4200.41,939.05,156.05,486.42,1.11,3.47,507.2,1927.04,1575.81
"9391672","SPIRIT OF SYDNEY","Container ship",7381.86,23114.16,0.37,1.33,23476.61,4126.77,142.58,446.45,6.16,19.29,3390.76,9192.35,10000.78
"9391787","AS NURIA","Container ship",916.88,2858.76,0.05,0.17,2903.78,319.7,186.3,580.88,5.33,16.61,0,683.66,2120.04
"9391945","EMERALD","Oil tanker",4649.73,14671.62,0.23,0.84,14899.92,3948.7,144.66,456.45,7.13,22.49,9586.71,877.37,1132.94
"9391957","ZAPPHIRE","Oil tanker",4798.43,15099.3,0.24,0.86,15334.91,4105.4,134.9,424.48,7.33,23.07,8062.28,1858.82,1889.55
"9391983","STOLT AGUILA","Chemical tanker",669.82,2090.22,0.03,0.12,2123.11,973.3,56.84,177.36,7.59,23.69,0,784.49,1281.55
"9392092","PRINCESS SHAHD","Bulk carrier",685.64,2154.73,0.03,0.12,2188.4,897.98,64.3,202.07,3.43,10.78,494.93,646.59,934.99
"9392133","AURELIA","Bulk carrier",554.63,1740.35,0.03,0.1,1767.59,973,67.16,210.75,3.74,11.72,314.67,949.43,444.02
"9392171","KUROBE","General cargo ship",188.98,595.59,0.01,0.03,604.86,363.67,65.62,206.81,2.57,8.09,0,595.59,0
"9392183","SIGRID THERESA","Chemical tanker",2088.26,6572.88,0.1,0.38,6675.42,4522.19,44.14,138.94,9.82,30.92,1966.45,2045.46,2205.14
"9392250","CHELSEA","Gas carrier",1471.48,4644.43,0.07,0.26,4716.68,2833.2,59.38,187.41,25.36,80.04,1437.78,697,1917.05
"9392315","KRITI ROCK","Oil tanker",4550.7,14285.69,0.23,0.82,14509.13,3856.97,135.27,424.65,7.81,24.53,5283.65,3076.88,4130.57
"9392391","JOSE PROGRESS","Chemical tanker",4896.5,15382.52,0.24,0.88,15622.94,4221.3,88.41,277.73,3.33,10.45,0,4972.23,9361.29
"9392432","SEADUTY","Bulk carrier",851.4,2658.4,0.04,0.15,2700.2,642.59,124.62,389.13,2.26,7.05,195.16,683.67,1630.45
"9392444","BRAVEHEART I","Bulk carrier",1193.73,3739.38,0.06,0.21,3798,931.4,109,341.43,3.13,9.81,478.3,1478.48,1598.13
"9392468","TORM LOTTE","Oil tanker",766.03,2386.88,0.04,0.14,2424.5,641.33,90.78,282.87,2.25,7.01,0,0,2386.88
"9392470","TORM LILLY","Oil tanker",984.79,3078.8,0.05,0.18,3127.15,737,102.5,320.44,3.68,11.49,405.34,1601.62,811.75
"9392482","TORM LOUISE","Oil tanker",1704.73,5324.71,0.09,0.31,5408.41,1320.5,103.21,322.38,2.9,9.07,1098.48,1026.99,2540.4
"9392781","ZEZE START","Chemical tanker",733.35,2295.93,0.04,0.13,2331.94,674.66,118.23,370.13,10.5,32.87,0,1168.16,1057.72
"9392999","JBU ONYX","Chemical tanker",2005.1,6301.65,0.1,0.36,6400.1,2489.48,72.81,228.83,4.85,15.24,1284.97,1928.49,2564.14
"9393010","BOW AGATHE","Oil tanker",2748.5,8620.97,0.14,0.49,8755.92,1918.05,108.65,340.79,4.72,14.79,550.86,3144.52,4233.42
"9393022","MSC SHAY","Container ship",446.03,1429.97,0.02,0.08,1451.87,195.08,262.2,840.62,3.57,11.46,970.14,188.19,106.12
"9393060","DERG","Chemical tanker",828.69,2652.68,0.04,0.15,2693.37,1517.77,92.51,296.14,36.56,117.02,817.85,362.92,1315.94
"9393072","ERNE","Chemical tanker",1689.87,5396.56,0.08,0.3,5479.53,3082.25,85.22,272.15,20.49,65.44,3083.15,361.32,1286.79
"9393096","HAFNIA YANGTZE","Oil tanker",1195.6,3730.1,0.06,0.22,3788.8,1101.2,102.66,320.29,3.36,10.48,0,1521.01,1864.94
"9393149","BLACKY","Bulk carrier",1767.17,5567.21,0.09,0.32,5653.97,2506.64,67.73,213.37,3.96,12.48,1085.6,2731.36,1482.05
"9393151","BRANT","Bulk carrier",1358.81,4251.04,0.07,0.24,4317.75,1554.68,83.81,262.21,4.38,13.69,2015.78,1779.07,337.66
"9393163","TUFTY","Bulk carrier",978.13,3067.18,0.05,0.18,3115.2,1204.36,83.72,262.51,7.62,23.89,1695.78,509.7,625.89
"9393242","REGINE","Other ship types",4472.1,14011.42,0.22,0.8,14231,2497,100.09,313.59,35.03,109.75,1431.8,6058.3,5893.7
"9393319","MSC RIKKU","Container ship",397,1242.73,0.02,0.07,1262.22,214.7,261.05,817.15,3.54,11.07,601.94,293.96,81.9
"9393321","MSC ELAINE","Container ship",4877.66,15285.82,0.24,0.88,15525.31,1637.9,257.47,806.86,5.12,16.06,6310.02,5829.14,2255.18
"9393383","NQ LAELIA","Chemical tanker",2230.11,7002.1,0.11,0.4,7111.6,4548.6,55.79,175.18,16.99,53.35,4957.67,689.12,469.22
"9393395","NQ LILIUM","Chemical tanker",2550.29,8036.63,0.13,0.46,8161.85,4464.37,59.08,186.17,16.14,50.85,5366.61,825.17,748.09
"9393448","MIEDWIE","Bulk carrier",1894.45,5986.23,0.09,0.34,6079.25,2733.93,74.79,236.33,3.57,11.28,1485.41,2312.05,1722.92
"9393450","DRAWSKO","Bulk carrier",2468.83,7770.9,0.12,0.44,7892.12,2863.41,89.68,282.28,4.13,13,4233.74,2092.02,989.04
"9393462","RESKO","Bulk carrier",2617,8258.95,0.13,0.47,8387.44,3218.71,79.56,251.09,4.52,14.26,2372.8,2495.31,2569.69
"9393474","WICKO","Bulk carrier",1964.38,6210.5,0.1,0.35,6306.95,2500.16,85.77,271.17,5.13,16.23,1453.4,2894.12,1158.53
"9393527","UAFL ATHENS","General cargo ship",18.3,58.67,0,0,59.57,51,62.89,201.61,18.5,59.32,0,20.1,27.6
"9393539","AAL GEELONG","General cargo ship",2220.08,6970.01,0.11,0.4,7079.01,2805.43,66.25,207.99,6.79,21.33,1119.85,2320.57,3038.42
"9393553","AAL GENOA","General cargo ship",1583.9,4960.82,0.08,0.29,5038.59,1890.01,73.7,230.82,6.73,21.07,318.45,1879.44,2686.16
"9393577","AAL GALVESTON","General cargo ship",2120.78,6630.84,0.11,0.38,6734.97,2624.84,67.67,211.59,9.97,31.16,1045.75,2573.65,2832.01
"9393589","AAL GUNSAN","General cargo ship",2727.94,8532.27,0.14,0.49,8666.21,3207.85,72.28,226.07,11.44,35.78,1614.48,4026.49,2736.07
"9393618","ETNA","Bulk carrier",2258.9,7092.22,0.11,0.41,7203.13,2525.51,100.1,314.29,3.74,11.75,392.78,2388.57,4134.14
"9393620","LUCKY FINDER","General cargo ship",1236.1,3885.01,0.06,0.22,3945.71,1590.06,69.43,218.22,3.21,10.1,425.81,1048.58,2277.25
"9393632","LUCKY VOYAGER","General cargo ship",1521.5,4820.65,0.08,0.27,4895.36,1830.76,240.48,761.93,10.01,31.72,607.17,1429.62,2618.11
"9393656","ENDO OSTRO","Chemical tanker",1364.18,4358.36,0.07,0.25,4425.34,3431.21,45.98,146.9,16.61,53.07,1948.43,985.11,1144.67
"9394040","HW OTTO","Chemical tanker",1249.69,3899.06,0.06,0.22,3960.42,1347.19,94.78,295.73,3.79,11.84,203.12,2253.97,1373.35
"9394222","DON JUAN","Bulk carrier",2888.12,9038.74,0.14,0.52,9180.54,4077.9,72.24,226.09,7.23,22.64,6118.25,1211.4,957.35
"9394234","SOUSELAS","Bulk carrier",2001.98,6254.19,0.1,0.36,6352.49,3027.75,72.28,225.79,7.58,23.69,3367.64,491.11,1706.2
"9394519","EMMY SCHULTE","Chemical tanker",2398.45,7650.97,0.12,0.43,7768.73,2891.1,74.58,237.9,9.26,29.55,2523.37,2046.07,1864.85
"9394882","MAERSK BOGOR","Container ship",5597.74,17334.06,0.28,1.01,17608.91,2639.77,137.08,424.47,5.37,16.62,843.37,7432.17,7632.62
"9394894","MAERSK BRATAN","Container ship",4184.78,12776.36,0.21,0.75,12981.83,1905.87,158.3,483.29,7.44,22.71,473.84,5797.84,3742.04
"9394909","EMMANUEL C","Bulk carrier",2059.3,6449.93,0.1,0.37,6551.04,2078.7,92.76,290.52,2.63,8.23,594.58,1795.21,3926.67
"9395109","AS FABIANA","Container ship",369.95,1137.95,0.02,0.07,1156.11,420,101.08,310.92,14.38,44.23,0,533.04,601.79
"9395214","SYROS TRADER","Bulk carrier",176.9,558.64,0.01,0.03,567.32,168.5,101.31,319.93,2.24,7.07,0,0,558.64
"9395305","DESIMI","Oil tanker",1017.85,3171.68,0.05,0.18,3221.66,335.68,281.04,875.74,1.07,3.34,0,0,3171.68
"9395329","BOTAFOGO","Oil tanker",3036.94,9508.84,0.15,0.55,9657.95,1987.05,156.53,490.11,4.11,12.86,990.53,3890.72,3908.2
"9395331","COROSSOL","Oil tanker",7791.07,24322.48,0.39,1.4,24705.02,4452.4,156.27,487.86,3.61,11.26,1244.18,11452.5,9943.54
"9395343","FIONIA SEA","Ro-ro ship",7336.89,23151.24,0.37,1.32,23511.49,3803.24,133.19,420.27,46.61,147.07,970.59,10702.25,10373.36
"9395355","JUTLANDIA SEA","Ro-ro ship",8513.38,24188.22,0.43,1.53,24606.22,4053.88,144.57,410.76,49.88,141.72,0,11383.46,11398.98
"9395563","ELBRUNNER","Container ship",2865.26,8873.76,0.14,0.52,9014.45,3434.18,77.26,239.28,22.48,69.63,1994.06,3071,3438.01
"9395575","CT ROTTERDAM","Container ship",5181.45,16206.84,0.26,0.93,16461.25,4510.57,82.39,257.71,14.73,46.08,14419.64,23.69,172.64
"9395599","CONTSHIP VOW","Container ship",3620.6,11324.15,0.18,0.65,11501.92,3823.82,94.04,294.12,13.98,43.73,3991.91,3009.57,3818.74
"9395616","CONTSHIP TOP","Container ship",3045.69,9581.82,0.15,0.55,9731.37,3992.5,85.77,269.83,15.63,49.17,3095.32,3134.58,2996.31
"9395630","VIOLET ACE","Vehicle carrier",2657.5,8312.56,0.13,0.48,8443.04,1841.3,104.46,326.75,40.16,125.63,1527.35,3387.81,3110.57
"9395733","PELICAN FISHER","Oil tanker",22.9,73.42,0,0,74.54,71.3,62.84,201.47,34.01,109.03,19.88,29.82,14.75
"9395989","ARSLAND","Chemical tanker",2484.63,7888.35,0.12,0.45,8010.34,3584.6,76.04,241.41,9.52,30.22,3426.35,1542.22,1857.42
"9396000","BOMAR HAWK","Chemical tanker",2651.41,8363.7,0.13,0.48,8493.88,3279.8,80.33,253.39,7.27,22.94,2969.35,2119.31,2136.16
"9396012","SONGA FALCON","Chemical tanker",2326.19,7370.44,0.12,0.42,7484.65,2277.52,88.73,281.12,9.41,29.82,3236.98,1442.23,1583.75
"9396024","BOMAR OSPREY","Chemical tanker",1718.77,5407.56,0.09,0.31,5491.95,1899.3,79.95,251.54,8.65,27.21,1616.75,1725.78,1593.8
"9396323","HISTRIA GIADA","Oil tanker",3690.83,11595.79,0.18,0.66,11777.01,3644.93,101.11,317.67,6.43,20.19,8141.77,440.98,706.6
"9396335","HISTRIA TIGER","Oil tanker",2755.34,8711.2,0.14,0.5,8846.49,3279.4,93.23,294.76,5.28,16.7,1738.38,3607.22,2469.54
"9396373","AMIF","Chemical tanker",4205.77,13163.29,0.21,0.76,13369.79,4357.58,99.86,312.55,4.21,13.16,1303.18,6233.89,5065.64
"9396385","ARS ET LABOUR","Chemical tanker",1781.91,5602.44,0.09,0.32,5689.93,2382.51,97.1,305.3,6.66,20.93,1101.38,1478.85,2772.84
"9396555","LAGAVULIN","Bulk carrier",996.58,3140.47,0.05,0.18,3189.41,2894.32,35.13,110.69,2.56,8.07,724.67,1150.64,1227.21
"9396610","ATLANTIC WEST","Container ship",3320.25,10409.74,0.17,0.6,10572.77,3267.01,96.24,301.75,10.03,31.44,4091.21,1957.01,3198.56
"9396622","ATLANTIC SILVER","Container ship",3474.92,10890.94,0.17,0.63,11061.56,3517.13,102.73,321.97,11.07,34.69,3946.33,2204.42,3805.89
"9396634","EVI","Container ship",2994.78,9420.54,0.15,0.54,9567.58,2317.15,115.53,363.4,27.12,85.32,865.03,3901.5,3997.61
"9396660","CLIO","Oil tanker",661,2065.01,0.03,0.12,2097.46,406.4,144.23,450.58,1.66,5.19,0,2065.01,0
"9396696","CMA CGM NADOR","Container ship",973,3066.63,0.05,0.18,3114.4,1197.41,84.96,267.77,15.92,50.19,1303.18,694.83,972.12
"9396713","AQUADISIAC","Chemical tanker",2721.9,8602.81,0.14,0.49,8736.46,1973.31,113.79,359.64,4.58,14.47,21.14,3737.29,4238.99
"9396737","SKYLIGHT","Chemical tanker",744.93,2342.8,0.04,0.13,2379.38,885.62,84.58,266.02,10.19,32.05,429.14,307.13,1442.06
"9396763","AUTAN","Oil tanker",447.1,1401.64,0.02,0.08,1423.59,473.72,94.17,295.21,2.48,7.78,0,283.69,1014.08
"9396787","HARBIYE","Chemical tanker",1381.37,4374.99,0.07,0.25,4442.82,2007.3,107.79,341.39,7.66,24.26,1106.45,1710.8,959.72
"9397200","SUPRA","Bulk carrier",2085.09,6582.94,0.1,0.38,6685.31,4819.05,48.12,151.92,5.15,16.25,4012.64,920.38,1381.11
"9397236","AGIA TRIADA","Bulk carrier",271.73,849.56,0.01,0.05,862.91,373.28,63.78,199.4,11.3,35.33,252.16,484.74,58.56
"9397511","LYSIAS","Oil tanker",474.24,1495.52,0.02,0.09,1518.81,433,89.13,281.06,2.5,7.89,102.64,1357.64,0
"9397585","ELENI T","Container ship",3052.93,9540.87,0.15,0.55,9690.77,1651.7,152.69,477.19,6.16,19.24,1622.08,3462.76,4264.95
"9397602","CMA CGM TOPAZ","Container ship",6103.02,19014.93,0.31,1.1,19314.59,3484.3,144.37,449.81,5.89,18.34,829.75,9341.67,8657.57
"9397614","IONIKOS","Container ship",1940.6,6072.03,0.1,0.35,6167.31,1330,157.81,493.78,5.44,17.02,2035.22,2179.42,1719.7
"9397913","AMALTHEA","Container ship",5917.51,18492.92,0.3,1.07,18783.47,2372.12,179.34,560.46,7.39,23.1,1535.47,6909.72,9732.25
"9397999","AMETHYST ACE","Vehicle carrier",3371.67,10615.46,0.17,0.61,10781.01,4129.41,75.28,237.01,14.96,47.11,0,5127.96,5158.31
"9398072","ACHILLEAS","Oil tanker",4830.85,15110.72,0.24,0.87,15347.91,1482.5,275.94,863.12,1.45,4.53,342.02,3902.7,10379.64
"9398228","MSC NOA","Container ship",6441.27,20181.13,0.32,1.16,20497.4,2092,217.73,682.18,4.47,14.01,4412.79,11608.75,3432.41
"9398266","KRITI LEGEND","Oil tanker",5614.1,17589.73,0.28,1.01,17865.38,3420.51,166.31,521.08,4.41,13.83,62.28,5373.11,8321.5
"9398280","CHIOS LION","Oil tanker",2524.82,7989.5,0.13,0.45,8113.47,1017.44,217.91,689.55,3.4,10.77,0,800.32,6933.59
"9398307","BW TOKYO","Gas carrier",2327.2,7304.3,0.12,0.42,7418.56,1586.9,116.21,364.73,5.53,17.36,71.81,3693.24,3311.29
"9398321","TORINO","Vehicle carrier",1628.78,5088.83,0.08,0.29,5168.8,949.9,118.36,369.8,12.11,37.84,65.4,4180.37,709.72
"9398333","TOSCANA","Vehicle carrier",609.57,1926.12,0.03,0.11,1956.05,454.2,103.56,327.22,89.72,283.49,391.13,113.81,1274.98
"9398371","MSC IVANA","Container ship",4556.16,14226.23,0.23,0.82,14449.93,1404,245.83,767.57,9.16,28.59,5425.6,7979.14,287.24
"9398383","MSC LUCIANA","Container ship",7465.15,23314.89,0.37,1.34,23681.43,1748.6,280.94,877.41,2.89,9.03,2215.08,11315.13,9043.1
"9398400","NINGBO","Container ship",7556.4,23536.42,0.38,1.36,23907.44,1296,299.83,933.91,3.92,12.22,0,2846.2,20635.7
"9398412","SAN DIEGO","Container ship",7063.4,21999.37,0.35,1.27,22346.18,1582,257.97,803.45,3.9,12.15,0,2924.4,19028
"9398448","ANTWERP","Container ship",6980.6,21741.61,0.35,1.26,22084.36,1310,299.61,933.16,3.28,10.21,0,1748.3,19959.5
"9398450","ROTTERDAM","Container ship",7531,23461.38,0.38,1.36,23831.15,1398,298.15,928.83,3.32,10.33,0,3393.8,20015.2
"9398462","TIANJIN","Container ship",7677.8,23914.72,0.38,1.38,24291.7,1586,284.57,886.39,3.16,9.86,0,3455.3,20410.5
"9398527","SUPER-FAST BALEARES","Container/ro-ro cargo ship",6577.28,20564.81,0.33,1.18,20887.76,2199.8,229.87,718.72,699.03,2185.6,1797.9,12682.4,5841.87
"9398668","ELLINA","Bulk carrier",1228.5,3857.68,0.06,0.22,3918,1334.61,97.15,305.08,2.33,7.32,0,1273.07,2253.48
"9398723","EAGLE HANOVER","Oil tanker",1407.91,4428.96,0.07,0.25,4498.09,998.6,125.57,395.01,2.97,9.35,0,2088.18,2109.63
"9398747","PREMIERSHIP","Bulk carrier",1889.29,5896.98,0.09,0.34,5989.74,1360.63,160.07,499.63,1.42,4.44,957.22,667.64,4093.93
"9398773","ELBWINTER","Container ship",3672.42,11597.25,0.18,0.66,11777.56,5676.43,90.31,285.21,13.32,42.06,10772.68,111.95,74.35
"9399002","MSC DANIELA","Container ship",5569.24,17464.28,0.28,1,17737.73,1237.4,354.75,1112.43,3.31,10.38,2174.12,670.41,13945.86
"9399014","MSC BEATRICE","Container ship",4492.93,13997.02,0.22,0.81,14217.62,968.3,316.23,985.16,5.06,15.77,326.79,13155.96,346.31
"9399038","MSC BETTINA","Container ship",1772.09,5564.22,0.09,0.32,5651.23,587.7,441.92,1387.59,4.34,13.64,3551.56,988.96,118.08
"9399040","MSC IRENE","Container ship",16071.42,50100.19,0.8,2.89,50889.29,3693.6,309.34,964.31,2.52,7.86,8183.97,15004.57,25703.6
"9399052","MSC EMANUELA","Container ship",11477.29,35834.28,0.57,2.07,36397.81,1989.5,380.03,1186.53,3.56,11.12,2659.25,16901.28,15683.97
"9399105","STAR SKY","Bulk carrier",1008.87,3150.8,0.05,0.18,3200.33,894.2,104.76,327.19,2.58,8.06,0,1201.01,1893.97
"9399210","CMA CGM PEGASUS","Container ship",16307,50888.37,0.82,2.94,51689.05,4519.05,263.94,823.65,2.6,8.1,6868.99,34091.32,8516.14
"9399222","CMA CGM TITAN","Container ship",17387.9,54358.74,0.87,3.13,55212.49,4305.89,270.1,844.4,2.54,7.94,8171.5,25392.23,19610.14
"9399272","NCC HUDA","Chemical tanker",2662.08,8328.23,0.13,0.48,8458.94,1950.9,107.33,335.78,3.83,11.97,1713.46,1569.96,3648.67
"9399349","HENRIETTE MAERSK","Oil tanker",4289.74,13484.68,0.21,0.77,13695.31,2863.08,128.29,403.29,7.61,23.92,5658.96,2554.3,3020.72
"9399351","HENRY MAERSK","Oil tanker",3645.12,11467.19,0.18,0.66,11646.17,3097.8,104.61,329.09,6.25,19.66,4701.06,3005.24,2117.56
"9399363","HULDA MAERSK","Oil tanker",3491.43,10987.87,0.17,0.63,11159.3,2829.2,106.41,334.89,8.12,25.56,4573.33,2021.94,2217.61
"9399478","VAIL SPIRIT","Oil tanker",4607,14447.84,0.23,0.83,14674.04,3317.17,170.28,534.01,2.67,8.37,257.84,5965.52,7243.56
"9399492","CASCADE SPIRIT","Oil tanker",911,2854.32,0.05,0.16,2899.05,738.8,118.84,372.36,2.22,6.94,0,1308.47,1545.84
"9399507","MARAN PLATO","Oil tanker",640.51,2000.67,0.03,0.12,2032.12,489,126.73,395.86,3.69,11.52,27.75,1843.36,0
"9399612","ETC NEFERTARI","Oil tanker",508.58,1609.75,0.03,0.09,1634.72,422.4,111.16,351.85,5.06,16.03,233.72,0,1165.07
"9399741","MSC MELANI III","Container ship",5406.92,16897.53,0.27,0.97,17163.01,4392.6,136.45,426.44,8.37,26.14,10936.22,2509.77,2247.44
"9399765","MSC PASSION III","Container ship",605.5,1907.81,0.03,0.11,1937.54,418.7,137.4,432.92,6.92,21.79,142.28,1660.76,79.25
"9399789","SONGA PUMA","Container ship",7301.73,23015.24,0.37,1.31,23373.75,3497.4,146.44,461.59,8.17,25.77,3637.02,16939.82,1463.94
"9399806","WINDSWEPT","Container ship",5942.57,18635.45,0.3,1.07,18927.23,3226.18,141.95,445.15,16.66,52.25,1695.98,7608.67,8799.4
"9399911","HTM WARRIOR","Chemical tanker",4089.42,12858.69,0.2,0.74,13059.48,3280,143.97,452.71,8.43,26.49,5476.17,3237.07,1715.66
"9400215","NEOKASTRO","Container ship",6618.33,20748.73,0.33,1.19,21073.7,3564.1,168.54,528.38,6.61,20.71,9778.94,3384.72,6009.51
"9400291","CMA CGM OSAKA","Container ship",8477.4,26662.91,0.42,1.53,27079.15,4116.29,167.38,526.44,5.6,17.63,12713.55,6680.18,5832.2
"9400370","ORION","Chemical tanker",1534,4818.71,0.08,0.28,4894.03,2046.1,62.72,197.02,6.51,20.44,187.94,1979.78,2405.16
"9400382","SAKHARA LOTUS","Chemical tanker",3365.72,10564.01,0.17,0.61,10729.27,4164.98,78.36,245.96,6.65,20.88,2537.29,3644.78,3245.72
"9400409","JBU OPAL","Chemical tanker",576.76,1827.5,0.03,0.1,1855.82,487.87,111.91,354.58,6.34,20.08,56.36,1680.77,0
