"IMO Number...1","Name...2","Ship type","PC1","PC2","PC3"
"8110681","BONTRUP AMSTERDAM","Bulk carrier",1.0779954787246,-0.0684588913902182,0.0760315845097319
"8125454","ARAL","Chemical tanker",-0.686158501902162,-0.00377414255286069,0.0281299666447414
"8130875","MIGHTY SERVANT 1","Other ship types",0.762146312429746,-0.107473273865533,-0.286246100402971
"8130899","MIGHTY SERVANT 3","Other ship types",-0.972686592288972,0.013881334960187,-0.0598150853404293
"8200577","EXPRESS M","Other ship types",-0.392716242568269,-0.322091265937426,-0.530725264199607
"8202018","IRON DESTINY","Bulk carrier",-2.1266262456431,0.0648974977870327,0.0462675560103896
"8204250","NABOLSI","Other ship types",-1.20711220288731,-0.137542369192772,-0.294907294949698
"8214889","HAJE HALIMEH","General cargo ship",-1.75112472095582,0.0480432654685011,0.043204993929817
"8401145","LYKTOS","Ro-ro ship",-2.17097454494835,-0.0648806895495706,-0.179887540049503
"8408650","SPRING","General cargo ship",-2.04354573124623,0.0492767363313609,0.0253661193085293
"8414726","ZHEN HUA 24","Other ship types",-1.91867820302534,0.0351641776137651,-0.00686606623276103
"8414738","ZHEN HUA 23","Other ship types",-1.79970377005123,-0.47724312199949,-0.891753403769168
"8415794","SEA PATRIS","Vehicle carrier",1.803291285463,-0.204957789921491,-0.0736462194681257
"8417118","SAFFET BEY","Ro-ro ship",-0.106184645058813,-0.196257080242341,-0.349986018087231
"8418265","BR BROTHER","General cargo ship",-1.88684543198124,0.0519195386537627,0.0326060296067422
"8500630","ATLANTIC LADY","Refrigerated cargo carrier",-1.78390673162785,-0.125788900795155,-0.276810165500777
"8501464","ULUSOY-5","Ro-ro ship",-0.593711703192927,-0.249920954665544,-0.415276184907376
"8509557","NOVIY SVET","Refrigerated cargo carrier",-2.01562105360432,-0.0281218738917598,-0.112362196576697
"8512279","TRANSSHELF","Other ship types",1.44351010960839,0.0424464794805882,-0.0438350722092276
"8512619","AFRICAN A","General cargo ship",-2.1636755198608,0.0417615160783323,0.00621657831450396
"8519710","SILVER SUN","Vehicle carrier",0.700621400693319,0.00245425959684592,-0.0260512927883381
"8520836","DAYTONA-H","Bulk carrier",-1.79533800307587,0.0523008408613985,0.0538525302926777
"8606056","GMT ASTRO","Vehicle carrier",-2.11324928044637,-0.0643509285764558,-0.17915542121469
"8606109","HALIM M","General cargo ship",-1.79801219844867,0.0473724628376851,0.0291968845462554
"8611984","CENK CAR","Vehicle carrier",-1.90276255787793,-0.337555734433027,-0.622213576291023
"8617938","TARGET","Other ship types",0.00543634048718755,-0.11199860838755,-0.281247125600321
"8700498","ZHEN HUA 29","Other ship types",-0.0768629228372189,-0.0157520659564721,-0.066357788723965
"8703270","MOHSEN","General cargo ship",-1.76693414088062,0.0329576041823393,0.0210290828305071
"8710182","ZHEN HUA 27","Other ship types",-0.436327683631705,0.0306142535870531,-0.0126111966979301
"8714205","MSC SABRINA III","Container ship",-1.30189391433165,0.0557169043890788,0.0395810138151135
"8715857","MSC SARISKA V","Container ship",1.6371996660816,0.0132147943467268,0.0148215942180102
"8716100","POLARIS","Other ship types",-1.06288429726324,-0.0569246186376423,-0.0534887755939342
"8802090","BALTIC SUMMER","Refrigerated cargo carrier",-1.55073272723536,-0.00526395153318999,-0.0745998684155405
"8804567","GREEN EGERSUND","Refrigerated cargo carrier",-1.0080608305633,-0.0838064856391727,-0.137612844752386
"8805597","LINK SUN","Ro-ro ship",-1.14185918718535,-0.106892722227548,-0.127990466214528
"8805602","LINK STAR","Ro-ro ship",-0.95446442553677,-0.0550899481567336,-0.0295945547229824
"8807155","NEPTUNE AVRA","Vehicle carrier",0.572131352972608,-0.145276704974983,-0.21342809215398
"8808604","SILVER DANIA","Refrigerated cargo carrier",-0.701253376737909,-0.0898661258955514,-0.113146315357035
"8813154","VASSILIOS","Ro-ro ship",2.94341747400846,-0.288882839920639,-0.117962113172221
"8819299","GREEN AUSTEVOLL","Refrigerated cargo carrier",-1.77393272843931,-0.0521781678786272,-0.137420557319499
"8819926","DITLEV REEFER","Refrigerated cargo carrier",-1.46266519800565,0.0132494220399905,-0.00627477053739927
"8820858","TRANSPORTER","Ro-ro ship",0.57343998172359,-0.0850929056413127,-0.0093489723677017
