"IMO Number...1","Name...2","Ship type","PC1","PC2","PC3"
"8204250","NABOLSI","Other ship types",-1.20082604357706,-0.331275544755489,0.00317433447099998
"8214889","HAJE HALIMEH","General cargo ship",-1.74880463094788,-0.220107264632821,0.0247000950218871
"8401145","LYKTOS","Ro-ro ship",-2.17072473678239,-0.568935031434133,-0.620826540933614
"8408650","SPRING","General cargo ship",-2.04382356034892,-0.469856078388581,-0.433277423155263
"8414726","ZHEN HUA 24","Other ship types",-1.91883572622663,-0.553553638863854,-0.494460341249428
"8414738","ZHEN HUA 23","Other ship types",-1.79195083280707,-0.509477607296499,-0.446128300237716
"8415794","SEA PATRIS","Vehicle carrier",1.79688846305768,3.05129614393256,0.736026261002088
"8417118","SAFFET BEY","Ro-ro ship",-0.0920981121632545,0.290693482327974,1.20557915817251
"8418265","BR BROTHER","General cargo ship",-1.88785244159143,-0.438441029160182,-0.492947753755129
"8500630","ATLANTIC LADY","Refrigerated cargo carrier",-1.78066813736466,-0.437213199262273,-0.319247601820834
"8501464","ULUSOY-5","Ro-ro ship",-0.583547376998411,0.469787961354281,0.856594290789085
"8509557","NOVIY SVET","Refrigerated cargo carrier",-2.01503927359812,-0.514218935117942,-0.498408429413744
"8512279","TRANSSHELF","Other ship types",1.45497774822392,-0.655141374567454,0.484964239035716
"8512619","AFRICAN A","General cargo ship",-2.16473700857658,-0.547357618595948,-0.584234046766526
"8519710","SILVER SUN","Vehicle carrier",0.713587143067242,0.171607899907356,1.27872991110799
"8520836","DAYTONA-H","Bulk carrier",-1.79315218669135,-0.192461901147683,0.0407522313939122
"8606056","GMT ASTRO","Vehicle carrier",-2.11279511686094,-0.568620407527526,-0.60468680426037
"8606109","HALIM M","General cargo ship",-1.79773964338754,-0.464612742043645,-0.382370564538074
"8611984","CENK CAR","Vehicle carrier",-1.89559418711951,-0.211382683617469,-0.0214243720928393
"8617938","TARGET","Other ship types",0.0146308168930884,-0.517564569639323,0.159052166121887
"8700498","ZHEN HUA 29","Other ship types",-0.0682236795645427,-0.0331522153329864,0.67782516819148
"8703270","MOHSEN","General cargo ship",-1.76442459148071,-0.184097647457381,0.0423714241240893
"8710182","ZHEN HUA 27","Other ship types",-0.430660487551815,-0.352055646446483,0.221791508224008
"8714205","MSC SABRINA III","Container ship",-1.29885166415025,-0.35859527826586,-0.0448705616694166
"8715857","MSC SARISKA V","Container ship",1.63437512755916,0.255561984662293,-0.548588182723131
"8716100","POLARIS","Other ship types",-1.06050977640771,0.649582667255803,0.45290600634266
"8802090","BALTIC SUMMER","Refrigerated cargo carrier",-1.54900666623938,-0.47951881162454,-0.339749110381661
"8804567","GREEN EGERSUND","Refrigerated cargo carrier",-1.00221829909756,0.320707687434948,0.566963588375019
"8805597","LINK SUN","Ro-ro ship",-1.13924841457988,0.757788117036616,0.483968619772497
"8805602","LINK STAR","Ro-ro ship",-0.951669923638116,0.867716626185167,0.647391650119894
"8807155","NEPTUNE AVRA","Vehicle carrier",0.581840398940808,0.773377905685551,1.0746206451417
"8808604","SILVER DANIA","Refrigerated cargo carrier",-0.694929548253633,0.69277374321785,0.844425316427146
"8813154","VASSILIOS","Ro-ro ship",2.92149825913264,3.92920287385319,-0.598771871515359
"8819299","GREEN AUSTEVOLL","Refrigerated cargo carrier",-1.77138701109617,-0.306971803351133,-0.180263598304896
"8819926","DITLEV REEFER","Refrigerated cargo carrier",-1.46503185284485,-0.166815735641755,-0.530178195708289
"8820858","TRANSPORTER","Ro-ro ship",0.578400498214884,1.70945379532686,1.38105671190546
"8820860","LINK GALAXY","Ro-ro ship",-0.0245696520239718,2.36066118117242,0.612067694846682
"8901585","LYUDA","Bulk carrier",-0.819451526789219,0.324136219813888,1.09367284561986
"8902929","MKK1","Bulk carrier",-1.70411713706838,-0.26873741715495,-0.131115209347642
"8902955","TRUSTEE","Other ship types",-0.694705649845761,-0.252522412283279,-0.339696028643999
"8902967","TRIUMPH","Other ship types",0.422842193797696,0.282812328985089,-0.304467475603231
"8907204","ARCTIC SPIRIT","Refrigerated cargo carrier",-1.12666884651091,0.164839138463444,0.753850658105867
"8907577","BR GLORY","Bulk carrier",-2.0666608312116,-0.512781900096901,-0.502795270905759
"8908583","CSL TRIMNES","Bulk carrier",-0.10597798125706,2.05289609553796,0.25185346408698
"8909070","BALTIC SPRING","Refrigerated cargo carrier",-1.11961566351684,-0.445729697265969,-0.119491997658373
"8911748","LINK NOVA","Ro-ro ship",-0.282675363501072,1.90931739414855,0.840057905950271
"8912132","GREEN HONDURAS","Refrigerated cargo carrier",-0.256035742942141,0.340402152638182,0.493822239574257
"8912144","GREEN GUATEMALA","Refrigerated cargo carrier",-0.592685110125517,0.178074679314646,0.632873298777549
"8912156","GREEN CHILE","Refrigerated cargo carrier",-2.06090948816222,-0.500364388469445,-0.491041011723117
"8912297","YEOMAN BONTRUP","Bulk carrier",2.14793639812651,2.02367643528465,0.0848529478722791
"8912302","YEOMAN BRIDGE","Bulk carrier",1.12142728889595,0.438133563871155,0.55741891582544
"8913320","M/V MEGAN","General cargo ship",-1.87896995590522,-0.414243043526135,-0.299110030751398
"8913411","MSC SANTHYA","Container ship",2.77219117831536,1.64267701560935,-0.110098718505608
"8913423","MSC SHANNON III","Container ship",3.69628849433566,2.11295306262863,0.184314855557032
"8913447","MSC ATLANTIC III","Container ship",3.90935218693428,0.148729898407621,0.581605044154195
"8916229","FRIO MARATHON","Refrigerated cargo carrier",-1.89106812290969,-0.452330392705995,-0.356275689969685
"8917584","WELLINGTON STAR","Refrigerated cargo carrier",0.129717952885124,-0.103720153473501,0.327709903048433
"8917778","MSC ELOISE","Container ship",2.51467326399443,0.151955238478742,0.31242414695258
"8918629","C.S. SOVEREIGN","Other ship types",-2.18710170586815,-0.522946148661618,-0.651910855027213
"8918734","LADY KHADIJA","General cargo ship",-1.32013704850177,0.0192236067565323,0.394970176292571
"8918954","MSC NEDERLAND III","Container ship",2.4582671190652,0.251723024896405,0.103042191571033
"8918966","MSC MANDY III","Container ship",3.44657992960993,2.3920019069039,-0.494051818123484
